-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7169	-167.8560	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7162	-167.8553	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5141	-0.7162	-167.8560	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5141	-0.7169	-167.8560	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7162	-167.8560	0.0000	0.0000
-8.4786	12.0479	2.0515	-0.122738	9.809017	0.259361	-1.5147	-0.7162	-167.8574	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5141	-0.7169	-167.8567	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5141	-0.7162	-167.8553	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8580	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8560	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8560	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8567	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8553	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8580	0.0000	0.0000
-8.3369	12.2221	2.5436	-0.122738	9.808979	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5141	-0.7169	-167.8567	0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8580	0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8574	0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8580	-0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8580	-0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8574	-0.0000	0.0000
-8.3962	12.8835	1.3052	-0.122719	9.808998	0.259361	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7175	-167.8574	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7169	-167.8553	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7175	-167.8567	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7169	-167.8560	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7175	-167.8574	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7175	-167.8560	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7169	-167.8560	-0.0000	0.0000
-8.6022	11.9513	2.5856	-0.122719	9.808960	0.259342	-1.5147	-0.7175	-167.8574	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7175	-167.8553	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7169	-167.8560	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7169	-167.8567	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7175	-167.8553	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7169	-167.8553	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7175	-167.8567	-0.0000	0.0000
-8.2757	11.7401	1.8722	-0.122757	9.808979	0.259342	-1.5147	-0.7175	-167.8574	-0.0000	0.0000
